,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score,coordinates,latitude,longitude
679,flat,m3m ikonic,sector 68,1.8,9230.0,3,3,3+,18.0,Relatively New,C69523822,1845.0,0,0,0,0,0,2,126,"28.3853° N, 77.0484° E",28.3853,77.0484
680,flat,chd avenue,sector 71,0.95,7929.0,2,2,2,5.0,Moderately Old,D69904562,1084.0,0,0,0,0,0,2,142,"28.4104° N, 77.0281° E",28.4104,77.0281
681,flat,shapoorji pallonji joyville gurugram,sector 102,1.26,10370.0,2,2,3,7.0,Relatively New,W70022160,1100.0,0,0,0,0,0,2,49,"28.4750° N, 76.9715° E",28.475,76.9715
682,flat,south city 1 floors,sector 41,3.4,11724.0,4,4,3,0.0,Old Property,O64568872,2900.0,0,0,0,0,0,0,0,"28.4557° N, 77.0632° E",28.4557,77.0632
683,flat,signature global city 92,sector 92,0.78,11142.0,2,2,3,2.0,Under Construction,C69153300,846.0,0,0,0,0,1,0,24,"28.4079° N, 76.9153° E",28.4079,76.9153
684,flat,m3m golf hills,sector 79,1.45,10211.0,2,2,3,15.0,Under Construction,D69857690,1578.0,0,0,0,0,0,0,67,"28.3624° N, 76.9787° E",28.3624,76.9787
685,flat,godrej,sector 79,2.03,9046.0,3,4,3+,7.0,Relatively New,U69438590,2031.0,0,0,0,1,0,0,118,"28.3624° N, 76.9787° E",28.3624,76.9787
686,flat,indiabulls centrum park,sector 103,2.4,8347.0,4,6,3+,15.0,Relatively New,N68495966,2456.0,0,0,0,1,0,0,156,"28.4949° N, 76.9845° E",28.4949,76.9845
687,flat,dlf the ultima,sector 81,2.4,11412.0,3,3,3+,12.0,Relatively New,Q70145884,1650.0,0,0,0,1,0,1,49,"28.3867° N, 76.9485° E",28.3867,76.9485
688,flat,madhur jeevan apartments,sector 56,1.59,8594.0,4,3,3+,3.0,Old Property,E69442206,1900.0,0,0,0,0,1,2,33,"28.4245° N, 77.0991° E",28.4245,77.0991
689,flat,vatika iris floors,sector 82,0.63,5590.0,2,2,3+,2.0,Relatively New,T67087386,1026.0,1,0,0,0,0,0,110,"28.3935° N, 76.9600° E",28.3935,76.96
690,flat,pareena coban residences,sector 99a,1.4,7010.0,3,5,3+,6.0,New Property,D70171158,1807.0,0,0,0,0,0,0,15,"28.4561° N, 76.9542° E",28.4561,76.9542
691,flat,mapsko mount ville,sector 79,1.2,8053.0,3,3,3,24.0,Relatively New,J69571808,1348.0,0,0,0,0,0,2,8,"28.3624° N, 76.9787° E",28.3624,76.9787
692,house,dlf city plots phase 2,sector 25,10.75,29861.0,9,9,3+,3.0,Old Property,U69430128,3600.0,0,1,1,1,0,0,73,"28.4844° N, 77.0860° E",28.4844,77.086
693,flat,bestech altura,sector 79,1.72,8400.0,3,4,3,9.0,New Property,R70191744,2050.0,0,0,0,0,0,0,49,"28.3624° N, 76.9787° E",28.3624,76.9787
694,flat,conscient heritage max,sector 102,2.22,13875.0,3,4,3+,15.0,Relatively New,L68345584,2000.0,1,0,0,1,0,0,82,"28.4750° N, 76.9715° E",28.475,76.9715
695,flat,smart world orchard,sector 61,2.45,15800.0,3,3,3,3.0,New Property,G68879412,1223.0,1,0,0,1,0,0,119,"28.4050° N, 77.0963° E",28.405,77.0963
696,house,independent,sector 7,8.0,22222.0,4,5,3+,1.0,Old Property,W59999200,3600.0,1,1,0,1,0,0,31,"28.4644° N, 77.0143° E",28.4644,77.0143
697,flat,tarc maceo,sector 91,1.75,11121.0,4,3,3+,8.0,Relatively New,H65096484,2107.0,1,1,1,1,0,0,128,"28.4014° N, 76.9225° E",28.4014,76.9225
698,flat,smart world gems,sector 89,1.71,12000.0,3,2,0,3.0,New Property,U68022596,1423.0,0,0,0,0,0,0,45,"28.4253° N, 76.9439° E",28.4253,76.9439
699,flat,rof ananda,sector 95,0.2,5463.0,1,1,1,10.0,Relatively New,D69372680,407.0,0,0,0,0,0,0,82,"28.4172° N, 76.9081° E",28.4172,76.9081
700,flat,sare crescent parc,sector 92,0.49,4909.0,2,2,2,2.0,Relatively New,M59252680,1109.0,0,0,0,0,0,0,96,"28.4079° N, 76.9153° E",28.4079,76.9153
701,flat,sare crescent parc,sector 92,1.0,5128.0,4,3,2,1.0,Relatively New,K64895528,2167.0,0,0,0,0,0,0,49,"28.4079° N, 76.9153° E",28.4079,76.9153
702,flat,sobha city,sector 108,2.6,15195.0,3,3,2,11.0,New Property,Z67948628,1711.0,0,0,0,0,0,0,49,"28.5134° N, 76.9830° E",28.5134,76.983
703,flat,whiteland blissville,sector 76,1.9,11363.0,3,3,2,0.0,Under Construction,N67620566,1513.0,0,0,0,0,0,0,61,"28.3935° N, 76.9888° E",28.3935,76.9888
704,house,independent,sector 14,7.5,16600.0,3,3,2,1.0,Old Property,B69775082,4518.0,1,1,0,1,0,2,27,"28.4711° N, 77.0454° E",28.4711,77.0454
705,flat,ardee city,sector 52,1.55,7381.0,4,4,3,1.0,Moderately Old,Y68863904,2100.0,0,0,0,0,0,0,0,"28.4379° N, 77.0785° E",28.4379,77.0785
706,flat,bestech park view residency,sector 2,0.56,8553.0,1,1,2,7.0,Moderately Old,V70071796,722.0,0,0,0,0,0,0,92,"28.5095° N, 77.0320° E",28.5095,77.032
707,flat,tulip violet,sector 69,2.05,9950.0,4,4,2,0.0,Relatively New,N69721252,1889.0,0,0,0,0,0,0,157,"28.3966° N, 77.0341° E",28.3966,77.0341
708,house,sector 14 rwa,sector 14,6.5,20635.0,4,4,3+,2.0,Moderately Old,J68581688,3150.0,0,0,0,0,0,0,0,"28.4711° N, 77.0454° E",28.4711,77.0454
709,flat,godrej summit,sector 104,1.3,9027.0,3,2,3+,16.0,Relatively New,G52699170,1303.0,1,1,1,0,0,2,0,"28.4788° N, 76.9960° E",28.4788,76.996
710,flat,vatika lifestyle homes,sector 83,1.05,7500.0,3,2,2,1.0,Moderately Old,K64577386,1600.0,0,0,0,0,0,2,106,"28.3986° N, 76.9647° E",28.3986,76.9647
711,flat,alpha corp gurgaonone,sector 84,2.24,6523.0,4,4,3,12.0,Relatively New,Z70006908,3165.0,0,0,0,1,0,0,20,"28.3979° N, 76.9736° E",28.3979,76.9736
712,house,naman residency,sector 4,0.5,11111.0,2,2,2,2.0,New Property,A62486368,450.0,1,1,0,1,1,0,14,"28.4738° N, 77.0107° E",28.4738,77.0107
713,flat,ss the leaf,sector 85,1.2,9677.0,2,2,3+,9.0,Relatively New,Y69963252,1491.0,0,0,1,0,0,0,148,"28.4042° N, 76.9513° E",28.4042,76.9513
714,flat,m3m soulitude,sector 89,1.25,8784.0,3,3,3,3.0,New Property,K68569738,1288.0,1,0,0,0,1,0,61,"28.4253° N, 76.9439° E",28.4253,76.9439
715,house,independent,sector 13,0.62,3588.0,6,6,0,3.0,Old Property,Y69854246,192.0,0,0,0,0,0,0,0,"28.4757° N, 77.0392° E",28.4757,77.0392
716,flat,mapsko paradise,sector 83,0.75,5597.0,3,3,3,10.0,New Property,G69826630,1162.0,0,0,0,0,1,2,49,"28.3986° N, 76.9647° E",28.3986,76.9647
717,house,independent,sector 38,2.1,23333.0,2,7,3+,3.0,Relatively New,A68711470,900.0,1,1,1,0,0,0,27,"28.4347° N, 77.0430° E",28.4347,77.043
718,house,independent,sector 9,0.6,10753.0,2,2,1,1.0,Moderately Old,X68581854,558.0,0,0,0,0,0,0,8,"28.4603° N, 77.0000° E",28.4603,77.0
719,house,smart world orchard,sector 61,2.01,13000.0,3,3,3,4.0,Under Construction,I69546738,1549.0,0,0,0,0,0,0,145,"28.4050° N, 77.0963° E",28.405,77.0963
720,flat,supertech hues,sector 68,0.93,8611.0,2,2,2,11.0,New Property,A68633102,1200.0,0,0,0,0,0,0,0,"28.3853° N, 77.0484° E",28.3853,77.0484
721,flat,mapsko casa bella,sector 82,3.0,6134.0,4,6,3+,25.0,Relatively New,K69026234,4425.0,0,1,0,1,0,2,119,"28.3935° N, 76.9600° E",28.3935,76.96
722,flat,tulip ivory,sector 70,2.35,9791.0,4,4,3+,10.0,Moderately Old,R69327588,2667.0,0,0,0,1,0,2,65,"28.3968° N, 77.0233° E",28.3968,77.0233
723,flat,assotech blith,sector 99,0.92,6739.0,2,2,3+,22.0,Under Construction,K68182666,1235.0,0,0,0,0,0,0,56,"28.4640° N, 76.9614° E",28.464,76.9614
724,flat,ss the leaf,sector 85,1.93,8075.0,3,4,3,7.0,Relatively New,R65906980,2400.0,0,0,0,1,0,0,174,"28.4042° N, 76.9513° E",28.4042,76.9513
725,flat,dlf regal gardens,sector 90,1.78,8036.0,4,4,3+,8.0,Relatively New,O69621840,2000.0,0,0,0,0,0,0,126,"28.4085° N, 76.9369° E",28.4085,76.9369
