property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,super_builtup_area,builtup_area,carpet_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
flat,bestech park view sanskruti,sector 92,1.55,9687.0,1600.0,Super Built up area 1995(185.34 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,17.0,,Undefined,A57683322,1995.0,,1600.0,0,0,0,1,0,2,60
flat,emaar mgf emerald floors premier,sector 65,2.8,14177.0,1975.0,Carpet area: 1975 (183.48 sq.m.),4,4,3,2.0,South,Undefined,S63409022,,,1975.0,1,0,0,1,0,2,108
house,emaar mgf marbella,sector 66,18.0,40000.0,4500.0,Plot area 500(418.06 sq.m.),5,6,3+,3.0,North-East,Undefined,X69714856,,4500.0,,1,1,1,1,0,1,153
house,independent,sector 26,18.4,1859.0,98978.0,Plot area 502(419.74 sq.m.)Carpet area: 11000 sq.yards (9197.4 sq.m.),6,8,3+,4.0,South,Undefined,Z69661544,,,11000.0,0,1,1,1,0,2,60
flat,malibu towers,sector 47,2.45,10698.0,2290.0,Carpet area: 2290 (212.75 sq.m.),3,4,2,1.0,,Undefined,O69735740,,,2290.0,1,0,0,0,0,2,42
flat,adani aangan arcade,sector 88a,0.45,7200.0,625.0,Carpet area: 625 (58.06 sq.m.),2,2,1,3.0,,New Property,R66070700,,,625.0,0,0,0,0,0,0,14
flat,adani brahma samsara vilasa,sector 63,3.0,16666.0,1800.0,Carpet area: 1800 (167.23 sq.m.),3,3,3,3.0,East,New Property,U69481564,,,1800.0,0,0,0,0,0,0,24
flat,raheja vanya,sector 99a,0.59,3975.0,1484.0,Super Built up area 1252.13(116.33 sq.m.),2,2,3,1.0,East,Under Construction,P60026372,1252.1,,,0,0,0,0,1,0,96
flat,paras dews,sector 106,1.5,6369.0,2355.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Undefined,O69996360,2355.0,1535.0,1403.0,0,0,0,1,0,0,174
flat,unitech greenwood city,sector 45,2.4,12346.0,1944.0,Super Built up area 216(180.6 sq.m.),3,3,2,1.0,North-West,New Property,G69464840,216.0,,,0,0,0,1,0,2,19
